id,channelId,title,thumbUrl,description,publishDate,viewCount,comments,likes,dislikes,responseCode
UgzKeUdeekDzrXYU8aF4AaABAg,,oMsLffZuMe8,UCrIXETatpgFgVNMzsJzb-QQ,@JorgeGarcia-gp2zh,https://yt3.ggpht.com/ytc/AIdro_lLI2HZhxb7YQRvynZyDrB6tSLADG41SBEAE4fyMKE=s48-c-k-c0x00ffffff-no-rj,2022-10-09T20:40:32,es triste todos queremos vivir almenos bien que dios lo cuide y proteja a todos 🙏🏼🙏🏼,13,false,10,
UgzKeUdeekDzrXYU8aF4AaABAg.9gzMrqU3KDK9gzQ2ifYuSa,UgzKeUdeekDzrXYU8aF4AaABAg,oMsLffZuMe8,UC-rvXmR6bQsZNTxpukMI4YA,@jrgil5156,https://yt3.ggpht.com/ytc/AIdro_nkHMdD8-iph0EM_9XXOHFTX5yr1_08Pyl5RsRmTC8NcKJnWauEhfigEgk72JRwumN-OA=s48-c-k-c0x00ffffff-no-rj,2022-10-09T21:08:22,Yevatelo para tu casa,13,true,,
UgyjDYQd5_me5YELQcB4AaABAg.9gzNjGRirmc9gzNmqfeVmQ,UgyjDYQd5_me5YELQcB4AaABAg,oMsLffZuMe8,UCnjt2Q-y4lphH7KVqxd_YLQ,@Misifusmiau,https://yt3.ggpht.com/ytc/AIdro_kAaI20QFh79JEe9hdoIWBOOZY-aHHdVsoW6zIIcbSuaA=s48-c-k-c0x00ffffff-no-rj,2022-10-09T20:48:36,Y también los pobres ecuatorianos,13,true,,
UgzcgXNQCzlx5XeSqGZ4AaABAg.9h1BfCNkdLZ9hAZSOTu1c0,UgzcgXNQCzlx5XeSqGZ4AaABAg,oMsLffZuMe8,UCRl4Q5Ip9Ea8_HdORVh43Fg,@jaimeduran206,https://yt3.ggpht.com/ytc/AIdro_lY8SYSntf-rLHu1x4K6BEUryOSDluCqJC9VgsIMso=s48-c-k-c0x00ffffff-no-rj,2022-10-14T14:21:25,"Todos dicen lo mismo todos son profesionales, pero en la forma como se expresan y su perfil físico que muestran y en la forma que hablan lo dudo, creo que la mayoría son de poca educación escolar, sin ninguna clase de profesión técnica o universitaria.que no Sean mentirosos , si lo son porque vienen mendigando por todos los países de Latinoamérica pidiendo que los  avancen en transporte gratis y pidiendo comida en las calles, en colombia llegan a las casas pidiendo algo de comida por las casas, entonces porque son tan orgullosos y creídos cuando se encuentran con otros latinos de países de Centroamérica o Suramérica y en realidad no lo son por eso en colombia tienen mala reputación.",12,true,,
Ugzayp6U0fIeUA1T54x4AaABAg.9gzuD0M66mc9h-QBXemPy8,Ugzayp6U0fIeUA1T54x4AaABAg,oMsLffZuMe8,UCGxFi_6GYilNSFsXXGvMFJA,@ursulalira3743,https://yt3.ggpht.com/Mln8FLCS4xAE3kmdYtk8HVS_o47F6NP_a4FULg9xEZsOT50aNjIkxsMUOVEIoKdBuUP9PHmvqw=s48-c-k-c0x00ffffff-no-rj,2022-10-10T06:28:49,"Viste esos chicos como hablan y piensan son los mismos que estan en peru limpiando lunas de los carros y si no le das  una moneda te amenazan,son jovenes ellos tienen que levantar a venezuela con trabajo y exigir a su presidente asi como exigen en camaras que quieren mejor vida,en su pais resuelvan el problema no huyan del problema",12,true,,
UgzqJQ91S70wl2ZV9AF4AaABAg,,oMsLffZuMe8,UCdWFg7lyUXwvfmEVu84OsqA,@MariaLopez-go3rp,https://yt3.ggpht.com/ytc/AIdro_lWJpsMnWYYJv5Tj5P28dE9jUUj-WWn1DFtHSFJHATfJl5c=s48-c-k-c0x00ffffff-no-rj,2022-10-09T20:47:07,"GRACIAS GUATEMALA,,",12,false,3,
UgyWaU8QQkBNwuVbGgF4AaABAg,,oMsLffZuMe8,UCti82ZWeierUGjavRBj9Eow,@johelka7901,https://yt3.ggpht.com/ytc/AIdro_l-xfb1KJ23CSPTvktzJPsARlQN6x_64GWvOYskZ1yTquw=s48-c-k-c0x00ffffff-no-rj,2022-10-13T13:47:25,Guatemala no es la primera vez que hacen con los inmigrantes y muchos los apoyan y aun así los guatemaltecos asen lo mismo para Estados Unidos y me gustaría saber si estarían contentos de que se les trate igual!! Al menos los Venezolanos muchos son profesionales y estudiados!!,11,false,21,
Ugy7R_QIfCY5cJjy1eZ4AaABAg,,oMsLffZuMe8,UCYjDB-GWt61ZtEvFVN5zjHQ,@iveramirez4836,https://yt3.ggpht.com/ytc/AIdro_nDVES5lmjinGgY-4hrdSd4BQb4Z4CHkZZZuql07-w=s48-c-k-c0x00ffffff-no-rj,2022-10-09T22:45:04,ES TRISTE LO QUE ESTA PASANDO VENEZUELA UN PAIS CON TANTAS RIQUEZAS Y POBREMENTE MAR ARMINISTRADO,11,false,2,
UgzcgXNQCzlx5XeSqGZ4AaABAg.9h1BfCNkdLZ9hA0ITBWRAO,UgzcgXNQCzlx5XeSqGZ4AaABAg,oMsLffZuMe8,UCvUAOVDFfUHXRd4IdLXJalA,@dayanahernandez3130,https://yt3.ggpht.com/ytc/AIdro_k65DZsAHQBUnAuOxSZT7r9fAk4iy8_eNYr_aT6LrBfoCwrcS85Lh9VOPaGRI17GotdtA=s48-c-k-c0x00ffffff-no-rj,2022-10-14T09:14:13,"Claro, por eso todos queremos ir a Venezuela para ver la maravilla que hacen.",11,true,,
UgxFHT9uzMkXp7nFlNp4AaABAg.9gzQ-6V2PJC9h-PA9hSOr4,UgxFHT9uzMkXp7nFlNp4AaABAg,oMsLffZuMe8,UC-rvXmR6bQsZNTxpukMI4YA,@jrgil5156,https://yt3.ggpht.com/ytc/AIdro_nkHMdD8-iph0EM_9XXOHFTX5yr1_08Pyl5RsRmTC8NcKJnWauEhfigEgk72JRwumN-OA=s48-c-k-c0x00ffffff-no-rj,2022-10-10T06:19:54,@@roxanasalmeron4213  cuando llegan a este país llegan con la cabbesa agachada des pues se sienten muy delicados por no quieren trabajar en cualquier trabajo no trabajan en el campo por que seles ase un trabajo muy bajo para su nivel de ustedes     La pregunta mi porque todos los dentro americanos colombianos y venezolanos no trabajan en el campó.  ?       Nosotros los mexicanos no nos rajamos a ningún trabajo.  Como ustedes,11,true,,
