id,channelId,title,thumbUrl,description,publishDate,viewCount,comments,likes,dislikes,responseCode
UgyBf3F44FN4CCAi5YJ4AaABAg.9oygdoT1GVR9p07mqIYw9M,UgyBf3F44FN4CCAi5YJ4AaABAg,Zxn6d7Om21k,UCdOuMdjTCz6KhD1BxWL6YLg,@jhoncarlos6188,https://yt3.ggpht.com/ytc/AIdro_kb9jgXOIRXPEtw6UcV-5Lnhz3xb5EAKRCQP094khQ=s48-c-k-c0x00ffffff-no-rj,2023-04-27T09:18:25,Toda esa fuerza deberían usarla en tumbarse ese régimen desastroso. formar guerrillas.,6,true,,
UgztdDwhqZuV1tPpuFd4AaABAg,,Zxn6d7Om21k,UCU_fV2WwT_kPs0rVscNYjAw,@XXL-jh9ff,https://yt3.ggpht.com/ytc/AIdro_k5LLs1XW4c8lOzGmvoWfmM1NNpPr9TR2OQnjeizLV1no64V9VAl-J3dX4UPpkd4JsAhg=s48-c-k-c0x00ffffff-no-rj,2023-04-27T09:59:53,"soy peruano y también quiero irme a USA, Chile, Ecuador, Costa Rica, Bolivia Uruguay son países 2 veces más pequeño que Perú y tiene mejores salarios y mejores condiciones de vida, ya Perú no es opción para ningún migrante...",5,false,19,
UgyfiiD_AZrQplDdqOB4AaABAg.9oxmXQdIOGH9oyansrU_pv,UgyfiiD_AZrQplDdqOB4AaABAg,Zxn6d7Om21k,UC9SmbmU9j0gtbwuT9U6-z0g,@martinclicerioenriquezpere7816,https://yt3.ggpht.com/ytc/AIdro_kQz7gx-tuyh0RlTXd919BCCZWOh7BKo3Rl7gKsAxZaHpR4P-z6fS_OdOlRlClH5vppOw=s48-c-k-c0x00ffffff-no-rj,2023-04-26T09:42:59,"Anda hijo,veras q no sera como te lo pintan",5,true,,
UgzNbyG1dFTDbbbwEmR4AaABAg.9owwEgfG2vD9ox39Wz9iKY,UgzNbyG1dFTDbbbwEmR4AaABAg,Zxn6d7Om21k,UCjAUOtxaoKsRZ3ezEwZrWIA,@pabloaureliobedoyavillanue8954,https://yt3.ggpht.com/ytc/AIdro_mVM8VHxsT6frf8o9UaeXk72YhkbFiL1oMosRAe01k=s48-c-k-c0x00ffffff-no-rj,2023-04-25T19:21,ajajja ya termino la miseria del castillo   y los rojitos todos se fueron a Puno,5,true,,
UgztdDwhqZuV1tPpuFd4AaABAg.9p0CXY4zp_X9pECXyru8d3,UgztdDwhqZuV1tPpuFd4AaABAg,Zxn6d7Om21k,UCjLxG1aPVaPOmzsb63HEurw,@jessicariquelme3483,https://yt3.ggpht.com/ytc/AIdro_mUOgmGV-zg3hAQ5qJbgnEw2OJ3rwUTvie4xciDXKtwYRc=s48-c-k-c0x00ffffff-no-rj,2023-05-02T20:29:18,"@@marthaorellana9026 Exacto, aquí en el Peru hay mucho emprendimiento y trabajo, pero si no te gusta romperte el lomo eso es otra cosa.",5,true,,
UgyfiiD_AZrQplDdqOB4AaABAg,,Zxn6d7Om21k,UCiNfB1Ta3hM5v1yNpuvupGA,@j.sebastian7705,https://yt3.ggpht.com/U2yaReutfmMUr49ec43DXBN5KrQpvCJI3LFIvoAEOyUhGe5l5Xj0uTxyyog-FX1ognUUPdioeA=s48-c-k-c0x00ffffff-no-rj,2023-04-26T02:06:13,Me voy es para Estados Unidos alla si hay futuro aunque no lo quieran aceptar si lo hay.,4,false,6,
Ugy2bMY5WLNlHg3oRf94AaABAg.9oyW3gPkcxH9oyb1z6T3Xu,Ugy2bMY5WLNlHg3oRf94AaABAg,Zxn6d7Om21k,UCw5C_PKjNh1GN3WYZuxPuSQ,@jorgebellidolavado6382,https://yt3.ggpht.com/ytc/AIdro_k9qoKv_-vr-s6shmAQJg4pKrYlnvo6LwR-VFh_0Tw=s48-c-k-c0x00ffffff-no-rj,2023-04-26T09:45:03,"Los taxes varían de estado y estado. No todos están tan mal como California.<br>Pero lo difícil es la vivienda, que no baja lo suficiente. Y no, no se recomienda vivir en usa pero como dice el, uno debe tener alguien que se haga en parte cargo.<br>Ah , y aún de turista, mejor traer antibióticos por si acaso. Allá solo te lo dan con receta y sin un seguro gringo, cuesta y MUCHO.",4,true,,
UgxfhWo2cvNmPAiVfh94AaABAg.9oxB4OuA1ys9p6IfxR_spp,UgxfhWo2cvNmPAiVfh94AaABAg,Zxn6d7Om21k,UCmgUALqy4CyxdbltN2jUbtg,@jocargua,https://yt3.ggpht.com/ytc/AIdro_kSk1FieoqaPsL2UkjW_hnwZd0im1o3y5mmRKI28f-4XWU=s48-c-k-c0x00ffffff-no-rj,2023-04-29T18:49:02,"Exacto. en éso pensaba en éstos días. En vez de hacer tanta presión a los países de posible acogida. Por qué no se alzan con dignidad y fuerza con su propio país y gobierno..??. No podrán vivir para siempre en ésta situación. Los cambios reales se hacen en la casa de uno. Donde uno con dignidad y legitimidad desea estar con su familia. Por lo menos en el contexto de ellos, que emigraron, no por gusto y decisión, sino por necesidad desesperada.",4,true,,
UgztdDwhqZuV1tPpuFd4AaABAg.9p0CXY4zp_X9pECiZF7cxI,UgztdDwhqZuV1tPpuFd4AaABAg,Zxn6d7Om21k,UCjLxG1aPVaPOmzsb63HEurw,@jessicariquelme3483,https://yt3.ggpht.com/ytc/AIdro_mUOgmGV-zg3hAQ5qJbgnEw2OJ3rwUTvie4xciDXKtwYRc=s48-c-k-c0x00ffffff-no-rj,2023-05-02T20:30:53,"@@XXL-jh9ff Exacto, pero debes saber que al peruano no le gusta pagar impuestos, o no me vas a negar, que cuanta gente vive muy bien de su empleo informal, sobre todo los comerciantes..tienen vivienda, carros, trabajadores a su cargo...",4,true,,
UgxgW7Ob3JWJc26axtJ4AaABAg,,Zxn6d7Om21k,UCA-Rf_1HJgjPQn9OiCPLebw,@jujutsukaisen1161,https://yt3.ggpht.com/fQdY31ctLB0WVptV2j60urW2jqBOJO-f7ZBZIpZq53kYtGnKB5DAJZTmM1xMFK_TyfYod449CQ=s48-c-k-c0x00ffffff-no-rj,2023-04-25T19:05:09,No se lo deseo a nadie.,3,false,0,
